Year_name,,NG_extraction,Wind_PP,Hydro_PP
2021,1,4600.60180181435,14337.455273296764,-0.0
2021,2,4595.968315751642,13871.651601223122,-0.0
2021,3,4645.522885541768,13588.388038226512,-0.0
2021,4,4719.816637896729,12890.13,566.2285251319063
2021,5,4842.931488143647,10170.6,3348.607010049089
2021,6,5131.192852800333,8401.8,5047.747937328542
2021,7,5810.896726053874,7605.839999999998,5583.58501007596
2021,8,6086.631639374973,6190.8,6850.072745076599
2021,9,5768.645235063085,4422.0,8698.43563827586
2021,10,5465.973701694352,3316.5,9442.477081839814
2021,11,5231.807484014152,3250.169999999999,8612.183584777045
2021,12,5050.466112627493,3228.0599999999995,8579.752377228959
2021,13,4935.161566968946,3228.0599999999995,8765.161561773035
2021,14,4848.683157469876,3802.919999999999,8772.96817252794
2021,15,4787.828154244166,4643.099999999999,9196.659756103372
2021,16,4767.8804274801605,4068.24,11285.008059188249
2021,17,4833.069000234651,4819.98,11547.8994046994
2021,18,4915.944142522416,8114.37,8891.0776296505
2021,19,5042.058489814875,13044.9,3829.3033824328613
2021,20,5058.873735950429,16483.029705109147,-0.0
2021,21,4947.172456992869,16678.329054196463,-0.0
2021,22,4867.900581916408,16253.512104650476,-0.0
2021,23,4807.304355996198,15308.790634723238,-0.0
2021,24,4678.9789283984765,14541.503662450854,-0.0
2021,25,4600.60180181435,13944.760828852319,-0.0
2021,26,4595.968315751642,13568.979379000899,-0.0
2021,27,4645.522885541768,13459.915816004293,-0.0
2021,28,4719.816637896729,13709.047414020795,-0.0
2021,29,4842.931488143647,14621.9181211602,-0.0
2021,30,5131.192852800333,15408.692381772988,-0.0
2021,31,5810.896726053874,15255.9,756.7027878537356
2021,32,6086.631639374973,14084.07,2684.2805228543784
2021,33,5768.645235063085,12890.13,2453.763971609191
2021,34,5465.973701694352,9528.660526284259,-0.0
2021,35,5231.807484014152,6380.963306999268,-0.0
2021,36,5050.466112627493,5036.528210562289,-0.0
2021,37,4935.161566968946,5249.378061773037,-0.0
2021,38,4848.683157469876,6983.741228083492,-0.0
2021,39,4787.828154244166,8379.69,1617.7323672144873
2021,40,4767.8804274801605,6942.54,9299.501114743802
2021,41,4833.069000234651,6434.009999999999,13091.691626921624
2021,42,4915.944142522416,5925.4800000000005,14021.45096298383
2021,43,5042.058489814875,5284.29,14511.374493543972
2021,44,5058.873735950429,4996.86,14002.2752606647
2021,45,4947.172456992869,4842.089999999999,13972.39460975202
2021,46,4867.900581916408,4576.7699999999995,13473.158771317141
2021,47,4807.304355996198,4289.34,12352.556190278792
2021,48,4678.9789283984765,3957.6899999999996,11622.813662450853
2021,49,4600.60180181435,3626.0399999999995,11224.420828852319
2021,50,4595.968315751642,4267.2300000000005,10222.710490112011
2021,51,4645.522885541768,4819.98,9560.308038226514
2021,52,4719.816637896729,4267.2300000000005,10309.717414020794
2021,53,4842.931488143647,3338.6099999999997,12127.758121160201
2021,54,5131.192852800333,2542.65,13762.264603995209
2021,55,5810.896726053874,1768.8,15472.508343409292
2021,56,6086.631639374973,928.62,17068.480522854377
2021,57,5768.645235063085,442.2,16549.61897160919
2021,58,5465.973701694352,596.97,13436.229304062035
2021,59,5231.807484014152,1569.81,9407.251918110378
2021,60,5050.466112627493,2321.5499999999997,6132.9719883400685
2021,61,4935.161566968946,4134.57,1589.0151728841502
2021,62,4848.683157469876,5925.4800000000005,1648.5603391946015
2021,63,4787.828154244166,5682.27,4834.807478325598
2021,64,4767.8804274801605,5682.27,11069.716948077135
2021,65,4833.069000234651,5837.04,14172.10051581051
2021,66,4915.944142522416,6787.7699999999995,13589.022074094944
2021,67,5042.058489814875,8556.57,11633.527826877305
2021,68,5058.873735950429,10634.91,8760.719705109146
2021,69,4947.172456992869,11541.42,7555.142387529797
2021,70,4867.900581916408,11895.179999999998,6327.254326872699
2021,71,4807.304355996198,10922.34,6105.106190278795
2021,72,4678.9789283984765,10590.689999999999,5321.791440228635
2021,73,4600.60180181435,8866.11,6314.706384407875
2021,74,4595.968315751642,6920.43,7852.304934556458
2021,75,4645.522885541768,6168.6900000000005,8503.731371559848
2021,76,4719.816637896729,4422.0,10378.080747354128
2021,77,4842.931488143647,3427.0499999999997,12408.684787826869
2021,78,5131.192852800333,2476.32,14085.74460399521
2021,79,5810.896726053874,1569.81,15918.415010075956
2021,80,6086.631639374973,1061.2799999999997,17086.366844919787
2021,81,5768.645235063085,1260.27,16237.805916053636
2021,82,5465.973701694352,2056.23,13041.723470728704
2021,83,5231.807484014152,2653.2,10446.006362554823
2021,84,5050.466112627493,2785.86,7889.212099451181
2021,85,4935.161566968946,2653.2,5057.618950661925
2021,86,4848.683157469876,2608.98,8006.04567252794
2021,87,4787.828154244166,3073.29,14992.669756103372
2021,88,4767.8804274801605,4333.56,15380.026948077135
2021,89,4833.069000234651,5837.04,14232.328293588289
2021,90,4915.944142522416,5859.150000000001,14599.864296317166
2021,91,5042.058489814875,4333.56,16072.943382432859
2021,92,5058.873735950429,3891.359999999999,15752.153038442479
2021,93,4947.172456992869,3692.3700000000003,15642.392387529795
2021,94,4867.900581916408,3382.83,15266.709882428251
2021,95,4807.304355996198,3427.0499999999997,13889.046190278794
2021,96,4678.9789283984765,3051.18,13187.206995784187
2021,97,4600.60180181435,2785.86,12785.01193996343
2021,98,4595.968315751642,2918.52,12270.226045667569
2021,99,4645.522885541768,3205.95,11803.421371559847
2021,100,4719.816637896729,3515.4900000000002,11919.618525131906
2021,101,4842.931488143647,3581.82,12737.970343382423
2021,102,5131.192852800333,3051.18,14093.834603995208
