Year_name,,CHP_PP
2021,1,4407.771985696863
2021,2,4403.138499634155
2021,3,4452.693069424281
2021,4,4526.986821779242
2021,5,4650.10167202616
2021,6,4938.363036682846
2021,7,5618.066909936387
2021,8,5893.801823257486
2021,9,5575.815418945598
2021,10,5273.143885576865
2021,11,5038.977667896665
2021,12,4857.636296510006
2021,13,4742.331750851459
2021,14,4655.853341352389
2021,15,4594.998338126679
2021,16,4575.050611362673
2021,17,4640.239184117164
2021,18,4723.114326404929
2021,19,4849.228673697388
2021,20,4866.043919832942
2021,21,4754.342640875382
2021,22,4675.070765798921
2021,23,4614.474539878711
2021,24,4486.149112280989
2021,25,4407.771985696863
2021,26,4403.138499634155
2021,27,4452.693069424281
2021,28,4526.986821779242
2021,29,4650.10167202616
2021,30,4938.363036682846
2021,31,5618.066909936387
2021,32,5893.801823257486
2021,33,5575.815418945598
2021,34,5273.143885576865
2021,35,5038.977667896665
2021,36,4857.636296510006
2021,37,4742.331750851459
2021,38,4655.853341352389
2021,39,4594.998338126679
2021,40,4575.050611362673
2021,41,4640.239184117164
2021,42,4723.114326404929
2021,43,4849.228673697388
2021,44,4866.043919832942
2021,45,4754.342640875382
2021,46,4675.070765798921
2021,47,4614.474539878711
2021,48,4486.149112280989
2021,49,4407.771985696863
2021,50,4403.138499634155
2021,51,4452.693069424281
2021,52,4526.986821779242
2021,53,4650.10167202616
2021,54,4938.363036682846
2021,55,5618.066909936387
2021,56,5893.801823257486
2021,57,5575.815418945598
2021,58,5273.143885576865
2021,59,5038.977667896665
2021,60,4857.636296510006
2021,61,4742.331750851459
2021,62,4655.853341352389
2021,63,4594.998338126679
2021,64,4575.050611362673
2021,65,4640.239184117164
2021,66,4723.114326404929
2021,67,4849.228673697388
2021,68,4866.043919832942
2021,69,4754.342640875382
2021,70,4675.070765798921
2021,71,4614.474539878711
2021,72,4486.149112280989
2021,73,4407.771985696863
2021,74,4403.138499634155
2021,75,4452.693069424281
2021,76,4526.986821779242
2021,77,4650.10167202616
2021,78,4938.363036682846
2021,79,5618.066909936387
2021,80,5893.801823257486
2021,81,5575.815418945598
2021,82,5273.143885576865
2021,83,5038.977667896665
2021,84,4857.636296510006
2021,85,4742.331750851459
2021,86,4655.853341352389
2021,87,4594.998338126679
2021,88,4575.050611362673
2021,89,4640.239184117164
2021,90,4723.114326404929
2021,91,4849.228673697388
2021,92,4866.043919832942
2021,93,4754.342640875382
2021,94,4675.070765798921
2021,95,4614.474539878711
2021,96,4486.149112280989
2021,97,4407.771985696863
2021,98,4403.138499634155
2021,99,4452.693069424281
2021,100,4526.986821779242
2021,101,4650.10167202616
2021,102,4938.363036682846
