Year_name,,Elec_transmission,Gas_pipeline
2021,1,10865.211111111112,192.82981611748735
2021,2,10704.644444444444,192.82981611748735
2021,3,10704.333333333332,192.82981611748735
2021,4,10786.088888888888,192.82981611748735
2021,5,11021.566666666666,192.82981611748735
2021,6,11071.444444444443,192.82981611748735
2021,7,11278.288888888888,192.82981611748735
2021,8,11315.655555555555,192.82981611748735
2021,9,11362.488888888889,192.82981611748735
2021,10,11550.055555555555,192.82981611748735
2021,11,11591.177777777777,192.82981611748735
2021,12,11583.544444444446,192.82981611748735
2021,13,11719.688888888888,192.82981611748735
2021,14,12052.544444444446,192.82981611748735
2021,15,12246.944444444443,192.82981611748735
2021,16,12245.677777777779,192.82981611748735
2021,17,12305.422222222222,192.82981611748735
2021,18,12293.466666666667,192.82981611748735
2021,19,12055.066666666666,192.82981611748735
2021,20,11628.355555555556,192.82981611748735
2021,21,11924.1,192.82981611748735
2021,22,11713.066666666668,192.82981611748735
2021,23,11262.5,192.82981611748735
2021,24,10943.788888888888,192.82981611748735
2021,25,10728.766666666666,192.82981611748735
2021,26,10583.22222222222,192.82981611748735
2021,27,10617.111111111111,192.82981611748735
2021,28,10931.277777777777,192.82981611748735
2021,29,11786.777777777777,192.82981611748735
2021,30,12288.08888888889,192.82981611748735
2021,31,12648.966666666665,192.82981611748735
2021,32,12703.133333333333,192.82981611748735
2021,33,12656.222222222223,192.82981611748735
2021,34,12673.199999999999,192.82981611748735
2021,35,12755.8,192.82981611748735
2021,36,12704.077777777777,192.82981611748735
2021,37,12755.388888888889,192.82981611748735
2021,38,12945.3,192.82981611748735
2021,39,13106.955555555556,192.82981611748735
2021,40,13066.733333333332,192.82981611748735
2021,41,13028.244444444445,192.82981611748735
2021,42,12996.199999999999,192.82981611748735
2021,43,12780.277777777777,192.82981611748735
2021,44,12193.21111111111,192.82981611748735
2021,45,12360.255555555555,192.82981611748735
2021,46,12135.733333333334,192.82981611748735
2021,47,11536.855555555556,192.82981611748735
2021,48,11105.288888888888,192.82981611748735
2021,49,10794.466666666667,192.82981611748735
2021,50,10750.433333333332,192.82981611748735
2021,51,10781.233333333334,192.82981611748735
2021,52,11066.677777777777,192.82981611748735
2021,53,11934.977777777776,192.82981611748735
2021,54,12449.31111111111,192.82981611748735
2021,55,12901.422222222223,192.82981611748735
2021,56,12900.633333333333,192.82981611748735
2021,57,12693.622222222222,192.82981611748735
2021,58,12772.677777777777,192.82981611748735
2021,59,12780.81111111111,192.82981611748735
2021,60,12678.255555555555,192.82981611748735
2021,61,12808.1,192.82981611748735
2021,62,13110.51111111111,192.82981611748735
2021,63,13244.466666666667,192.82981611748735
2021,64,13258.566666666666,192.82981611748735
2021,65,13230.433333333332,192.82981611748735
2021,66,13222.31111111111,192.82981611748735
2021,67,12992.21111111111,192.82981611748735
2021,68,12393.455555555556,192.82981611748735
2021,69,12434.833333333334,192.82981611748735
2021,70,12121.988888888889,192.82981611748735
2021,71,11673.655555555557,192.82981611748735
2021,72,11204.766666666668,192.82981611748735
2021,73,10974.822222222223,192.82981611748735
2021,74,10874.477777777778,192.82981611748735
2021,75,10933.366666666667,192.82981611748735
2021,76,11202.31111111111,192.82981611748735
2021,77,12186.844444444445,192.82981611748735
2021,78,12630.211111111112,192.82981611748735
2021,79,13022.088888888888,192.82981611748735
2021,80,13048.18888888889,192.82981611748735
2021,81,12934.666666666668,192.82981611748735
2021,82,12977.544444444446,192.82981611748735
2021,83,13051.455555555554,192.82981611748735
2021,84,12980.966666666667,192.82981611748735
2021,85,13055.077777777777,192.82981611748735
2021,86,13272.544444444446,192.82981611748735
2021,87,13360.244444444443,192.82981611748735
2021,88,13327.666666666666,192.82981611748735
2021,89,13214.41111111111,192.82981611748735
2021,90,13229.533333333333,192.82981611748735
2021,91,13117.366666666665,192.82981611748735
2021,92,12557.588888888888,192.82981611748735
2021,93,12680.533333333333,192.82981611748735
2021,94,12387.844444444443,192.82981611748735
2021,95,11868.555555555557,192.82981611748735
2021,96,11491.922222222222,192.82981611748735
2021,97,11254.877777777778,192.82981611748735
2021,98,11150.488888888889,192.82981611748735
2021,99,11186.566666666666,192.82981611748735
2021,100,11561.088888888888,192.82981611748735
2021,101,12398.4,192.82981611748735
2021,102,12926.91111111111,192.82981611748735
2021,103,13381.833333333332,192.82981611748735
2021,104,13425.433333333332,192.82981611748735
2021,105,13287.655555555555,192.82981611748735
2021,106,13258.422222222222,192.82981611748735
2021,107,13140.788888888888,192.82981611748735
2021,108,13147.266666666666,192.82981611748735
2021,109,13152.4,192.82981611748735
2021,110,13311.877777777778,192.82981611748735
2021,111,13447.644444444442,192.82981611748735
2021,112,13376.466666666665,192.82981611748735
2021,113,13347.866666666667,192.82981611748735
2021,114,13277.822222222223,192.82981611748735
2021,115,12891.666666666666,192.82981611748735
2021,116,12328.288888888888,192.82981611748735
2021,117,12395.866666666667,192.82981611748735
2021,118,12125.61111111111,192.82981611748735
2021,119,11521.466666666665,192.82981611748735
2021,120,11142.944444444443,192.82981611748735
2021,121,10814.933333333334,192.82981611748735
2021,122,10696.522222222224,192.82981611748735
2021,123,10649.588888888888,192.82981611748735
2021,124,10735.577777777778,192.82981611748735
2021,125,10945.311111111112,192.82981611748735
2021,126,11071.72222222222,192.82981611748735
2021,127,11435.288888888888,192.82981611748735
2021,128,11486.344444444443,192.82981611748735
2021,129,11548.922222222223,192.82981611748735
2021,130,11813.288888888888,192.82981611748735
2021,131,11928.766666666666,192.82981611748735
2021,132,11891.177777777777,192.82981611748735
2021,133,11975.4,192.82981611748735
2021,134,12297.199999999999,192.82981611748735
2021,135,12695.255555555555,192.82981611748735
2021,136,12795.555555555555,192.82981611748735
2021,137,12975.6,192.82981611748735
2021,138,12947.7,192.82981611748735
2021,139,12684.488888888889,192.82981611748735
2021,140,12233.933333333334,192.82981611748735
2021,141,12443.388888888887,192.82981611748735
2021,142,12210.2,192.82981611748735
2021,143,11702.566666666666,192.82981611748735
2021,144,11312.722222222223,192.82981611748735
2021,145,11028.766666666666,192.82981611748735
2021,146,10979.566666666668,192.82981611748735
2021,147,10974.977777777776,192.82981611748735
2021,148,11083.866666666667,192.82981611748735
2021,149,11348.333333333334,192.82981611748735
2021,150,11428.077777777778,192.82981611748735
2021,151,11741.766666666666,192.82981611748735
2021,152,11845.755555555555,192.82981611748735
2021,153,12061.355555555554,192.82981611748735
2021,154,12284.611111111111,192.82981611748735
2021,155,12318.322222222221,192.82981611748735
2021,156,12232.644444444444,192.82981611748735
2021,157,12232.522222222222,192.82981611748735
2021,158,12502.911111111112,192.82981611748735
2021,159,12877.366666666665,192.82981611748735
2021,160,12986.633333333331,192.82981611748735
2021,161,13114.066666666666,192.82981611748735
2021,162,13101.922222222222,192.82981611748735
2021,163,12826.68888888889,192.82981611748735
2021,164,12333.611111111111,192.82981611748735
2021,165,12532.988888888889,192.82981611748735
2021,166,12381.800000000001,192.82981611748735
2021,167,11976.822222222221,192.82981611748735
2021,168,11638.4,192.82981611748735
2021,169,11430.4,192.82981611748735
2021,170,11444.255555555555,192.82981611748735
2021,171,11498.655555555557,192.82981611748735
2021,172,11938.1,192.82981611748735
2021,173,13002.433333333334,192.82981611748735
2021,174,13683.655555555557,192.82981611748735
2021,175,14007.822222222223,192.82981611748735
2021,176,13895.522222222222,192.82981611748735
2021,177,13811.022222222222,192.82981611748735
2021,178,13775.322222222223,192.82981611748735
2021,179,13700.211111111112,192.82981611748735
2021,180,13620.777777777777,192.82981611748735
2021,181,13573.788888888888,192.82981611748735
2021,182,13723.966666666665,192.82981611748735
2021,183,14046.611111111111,192.82981611748735
2021,184,14073.577777777777,192.82981611748735
2021,185,14041.733333333332,192.82981611748735
2021,186,14002.011111111111,192.82981611748735
2021,187,13796.222222222223,192.82981611748735
2021,188,13136.011111111111,192.82981611748735
2021,189,13166.066666666666,192.82981611748735
2021,190,12952.555555555555,192.82981611748735
2021,191,12270.1,192.82981611748735
2021,192,11813.955555555554,192.82981611748735
2021,193,11575.433333333332,192.82981611748735
2021,194,11407.844444444443,192.82981611748735
2021,195,11503.688888888888,192.82981611748735
2021,196,11990.58888888889,192.82981611748735
2021,197,12934.422222222222,192.82981611748735
2021,198,13533.377777777778,192.82981611748735
2021,199,13845.877777777778,192.82981611748735
2021,200,13703.08888888889,192.82981611748735
2021,201,13514.588888888888,192.82981611748735
2021,202,13479.08888888889,192.82981611748735
2021,203,13432.788888888888,192.82981611748735
2021,204,13316.355555555554,192.82981611748735
2021,205,13298.277777777777,192.82981611748735
2021,206,13385.244444444443,192.82981611748735
2021,207,13622.122222222222,192.82981611748735
2021,208,13697.222222222223,192.82981611748735
2021,209,13691.5,192.82981611748735
2021,210,13725.455555555554,192.82981611748735
2021,211,13545.455555555554,192.82981611748735
2021,212,12844.033333333333,192.82981611748735
2021,213,12905.944444444445,192.82981611748735
2021,214,12662.288888888888,192.82981611748735
2021,215,12204.955555555554,192.82981611748735
2021,216,11855.944444444445,192.82981611748735
2021,217,11649.766666666668,192.82981611748735
2021,218,11554.444444444443,192.82981611748735
2021,219,11647.722222222223,192.82981611748735
2021,220,12111.766666666666,192.82981611748735
2021,221,13095.81111111111,192.82981611748735
2021,222,13539.777777777777,192.82981611748735
2021,223,13827.344444444445,192.82981611748735
2021,224,13618.955555555554,192.82981611748735
2021,225,13528.744444444445,192.82981611748735
2021,226,13635.61111111111,192.82981611748735
2021,227,13603.277777777777,192.82981611748735
2021,228,13526.355555555554,192.82981611748735
2021,229,13486.444444444443,192.82981611748735
2021,230,13680.233333333332,192.82981611748735
2021,231,13952.555555555555,192.82981611748735
2021,232,13976.72222222222,192.82981611748735
2021,233,13994.677777777777,192.82981611748735
2021,234,14002.588888888888,192.82981611748735
2021,235,13781.91111111111,192.82981611748735
2021,236,13205.933333333332,192.82981611748735
2021,237,13245.955555555556,192.82981611748735
2021,238,12900.088888888888,192.82981611748735
2021,239,12406.244444444445,192.82981611748735
2021,240,12075.933333333332,192.82981611748735
2021,241,11803.22222222222,192.82981611748735
2021,242,11787.288888888888,192.82981611748735
2021,243,11904.433333333332,192.82981611748735
2021,244,12431.022222222222,192.82981611748735
2021,245,13414.522222222222,192.82981611748735
2021,246,13980.733333333334,192.82981611748735
2021,247,14151.255555555554,192.82981611748735
2021,248,13913.0,192.82981611748735
2021,249,13890.166666666666,192.82981611748735
2021,250,13861.733333333332,192.82981611748735
2021,251,13878.599999999999,192.82981611748735
2021,252,13836.255555555554,192.82981611748735
2021,253,13836.833333333332,192.82981611748735
2021,254,13929.300000000001,192.82981611748735
2021,255,14213.22222222222,192.82981611748735
2021,256,14220.744444444445,192.82981611748735
2021,257,14198.177777777779,192.82981611748735
2021,258,14181.222222222223,192.82981611748735
2021,259,14030.988888888887,192.82981611748735
2021,260,13416.288888888888,192.82981611748735
2021,261,13514.688888888888,192.82981611748735
2021,262,13230.1,192.82981611748735
2021,263,12717.31111111111,192.82981611748735
2021,264,12321.733333333332,192.82981611748735
2021,265,12063.244444444445,192.82981611748735
2021,266,12018.533333333333,192.82981611748735
2021,267,12162.822222222223,192.82981611748735
2021,268,12628.922222222223,192.82981611748735
2021,269,13691.111111111111,192.82981611748735
2021,270,14172.711111111112,192.82981611748735
2021,271,14312.4,192.82981611748735
2021,272,14318.844444444443,192.82981611748735
2021,273,14239.91111111111,192.82981611748735
2021,274,14214.422222222222,192.82981611748735
2021,275,14153.333333333332,192.82981611748735
2021,276,14051.088888888888,192.82981611748735
2021,277,14040.188888888888,192.82981611748735
2021,278,14124.744444444445,192.82981611748735
2021,279,14421.866666666667,192.82981611748735
2021,280,14462.277777777777,192.82981611748735
2021,281,14370.3,192.82981611748735
2021,282,14296.68888888889,192.82981611748735
2021,283,14020.544444444444,192.82981611748735
2021,284,13407.944444444443,192.82981611748735
2021,285,13488.655555555557,192.82981611748735
2021,286,13147.944444444443,192.82981611748735
2021,287,12568.488888888887,192.82981611748735
2021,288,12164.233333333332,192.82981611748735
2021,289,11823.566666666666,192.82981611748735
