Year_name,,Geo_PP,Solar_PP
2021,1,-0.0,-0.0
2021,2,-0.0,-0.0
2021,3,-0.0,-0.0
2021,4,-0.0,-0.0
2021,5,-0.0,-0.0
2021,6,-0.0,-0.0
2021,7,-0.0,-0.0
2021,8,-0.0,-0.0
2021,9,-0.0,399.05999999999995
2021,10,-0.0,1374.54
2021,11,-0.0,2638.23
2021,12,-0.0,2948.61
2021,13,-0.0,2771.25
2021,14,-0.0,2372.19
2021,15,-0.0,1485.39
2021,16,-0.0,310.38
2021,17,-0.0,-0.0
2021,18,-0.0,-0.0
2021,19,-0.0,-0.0
2021,20,-0.0,-0.0
2021,21,-0.0,-0.0
2021,22,-0.0,-0.0
2021,23,-0.0,-0.0
2021,24,-0.0,-0.0
2021,25,-0.0,-0.0
2021,26,-0.0,-0.0
2021,27,-0.0,-0.0
2021,28,-0.0,-0.0
2021,29,-0.0,-0.0
2021,30,-0.0,-0.0
2021,31,-0.0,-0.0
2021,32,-0.0,-0.0
2021,33,-0.0,1862.2800000000002
2021,34,-0.0,7227.42
2021,35,-0.0,11639.25
2021,36,-0.0,13412.85
2021,37,-0.0,13213.32
2021,38,-0.0,11417.550000000001
2021,39,-0.0,7781.669999999998
2021,40,-0.0,2372.19
2021,41,-0.0,-0.0
2021,42,-0.0,-0.0
2021,43,-0.0,-0.0
2021,44,-0.0,-0.0
2021,45,-0.0,-0.0
2021,46,-0.0,-0.0
2021,47,-0.0,-0.0
2021,48,-0.0,-0.0
2021,49,-0.0,-0.0
2021,50,-0.0,-0.0
2021,51,-0.0,-0.0
2021,52,-0.0,-0.0
2021,53,-0.0,-0.0
2021,54,-0.0,-0.0
2021,55,-0.0,-0.0
2021,56,-0.0,-0.0
2021,57,-0.0,1285.8600000000001
2021,58,-0.0,3946.26
2021,59,-0.0,6673.17
2021,60,-0.0,9400.08
2021,61,-0.0,12969.449999999997
2021,62,-0.0,11240.19
2021,63,-0.0,7692.989999999999
2021,64,-0.0,2438.7
2021,65,-0.0,-0.0
2021,66,-0.0,-0.0
2021,67,-0.0,-0.0
2021,68,-0.0,-0.0
2021,69,-0.0,-0.0
2021,70,-0.0,-0.0
2021,71,-0.0,-0.0
2021,72,-0.0,-0.0
