Year_name,,Elec_transmission
2021,1,4500.0
2021,2,4254.0
2021,3,4047.0
2021,4,3905.0
2021,5,3815.0
2021,6,3832.0
2021,7,3724.0
2021,8,3683.0
2021,9,3984.0
2021,10,4402.0
2021,11,4824.0
2021,12,5026.0
2021,13,4843.0
2021,14,4610.0
2021,15,4555.0
2021,16,4584.0
2021,17,5063.0
2021,18,5615.0
2021,19,5750.0
2021,20,5785.0
2021,21,5661.0
2021,22,5459.0
2021,23,5040.0
2021,24,4631.0
2021,25,4295.0
2021,26,4109.0
2021,27,4014.0
2021,28,3991.0
2021,29,4085.0
2021,30,4426.0
2021,31,4886.0
2021,32,5555.0
2021,33,6191.0
2021,34,6516.0
2021,35,6747.0
2021,36,6794.0
2021,37,6726.0
2021,38,6808.0
2021,39,6700.0
2021,40,6700.0
2021,41,7011.0
2021,42,7406.0
2021,43,7507.0
2021,44,7346.0
2021,45,7021.0
2021,46,6558.0
2021,47,5887.0
2021,48,5333.0
2021,49,4967.0
2021,50,4712.0
2021,51,4619.0
2021,52,4577.0
2021,53,4642.0
2021,54,5014.0
2021,55,5667.0
2021,56,6380.0
2021,57,6903.0
2021,58,7015.0
2021,59,7199.0
2021,60,7086.0
2021,61,7009.0
2021,62,7162.0
2021,63,7089.0
2021,64,7021.0
2021,65,7236.0
2021,66,7569.0
2021,67,7653.0
2021,68,7503.0
2021,69,7187.0
2021,70,6707.0
2021,71,6086.0
2021,72,5519.0
2021,73,5087.0
2021,74,4839.0
2021,75,4731.0
2021,76,4647.0
2021,77,4736.0
2021,78,5075.0
2021,79,5768.0
2021,80,6506.0
2021,81,7093.0
2021,82,7193.0
2021,83,7350.0
2021,84,7192.0
2021,85,7056.0
2021,86,7280.0
2021,87,7134.0
2021,88,7118.0
2021,89,7297.0
2021,90,7629.0
2021,91,7726.0
2021,92,7570.0
2021,93,7181.0
2021,94,6836.0
2021,95,6161.0
2021,96,5550.0
2021,97,5175.0
2021,98,4951.0
2021,99,4798.0
2021,100,4868.0
2021,101,4954.0
2021,102,5304.0
2021,103,5945.0
2021,104,6642.0
2021,105,7159.0
2021,106,7347.0
2021,107,7512.0
2021,108,7393.0
2021,109,7292.0
2021,110,7479.0
2021,111,7389.0
2021,112,7253.0
2021,113,7351.0
2021,114,7656.0
2021,115,7711.0
2021,116,7532.0
2021,117,7186.0
2021,118,6830.0
2021,119,6251.0
2021,120,5610.0
2021,121,5221.0
2021,122,4964.0
2021,123,4837.0
2021,124,4754.0
2021,125,4714.0
2021,126,4799.0
2021,127,4954.0
2021,128,5264.0
2021,129,5801.0
2021,130,6077.0
2021,131,6219.0
2021,132,6252.0
2021,133,6161.0
2021,134,6069.0
2021,135,6003.0
2021,136,6021.0
2021,137,6490.0
2021,138,7127.0
2021,139,7273.0
2021,140,7125.0
2021,141,6783.0
2021,142,6491.0
2021,143,5996.0
2021,144,5456.0
2021,145,5016.0
2021,146,4749.0
2021,147,4591.0
2021,148,4510.0
2021,149,4486.0
2021,150,4530.0
2021,151,4561.0
2021,152,4710.0
2021,153,5207.0
2021,154,5659.0
2021,155,5951.0
2021,156,6172.0
2021,157,6020.0
2021,158,5842.0
2021,159,5747.0
2021,160,5689.0
2021,161,6191.0
2021,162,6885.0
2021,163,7104.0
2021,164,7120.0
2021,165,6842.0
2021,166,6456.0
2021,167,5806.0
2021,168,5305.0
2021,169,4912.0
2021,170,4731.0
2021,171,4623.0
2021,172,4577.0
2021,173,4724.0
2021,174,5213.0
2021,175,5974.0
2021,176,6843.0
2021,177,7401.0
2021,178,7518.0
2021,179,7589.0
2021,180,7395.0
2021,181,7268.0
2021,182,7361.0
2021,183,7245.0
2021,184,7150.0
2021,185,7465.0
2021,186,8039.0
2021,187,8253.0
2021,188,8169.0
2021,189,7867.0
2021,190,7351.0
2021,191,6533.0
2021,192,5808.0
2021,193,5408.0
2021,194,5163.0
2021,195,5062.0
2021,196,5015.0
2021,197,5079.0
2021,198,5505.0
2021,199,6232.0
2021,200,7099.0
2021,201,7746.0
2021,202,7967.0
2021,203,8250.0
2021,204,8121.0
2021,205,8023.0
2021,206,8214.0
2021,207,8123.0
2021,208,7967.0
2021,209,7985.0
2021,210,8300.0
2021,211,8433.0
2021,212,8294.0
2021,213,7942.0
2021,214,7424.0
2021,215,6593.0
2021,216,5873.0
2021,217,5446.0
2021,218,5204.0
2021,219,5087.0
2021,220,5051.0
2021,221,5103.0
2021,222,5511.0
2021,223,6265.0
2021,224,7115.0
2021,225,7590.0
2021,226,7762.0
2021,227,7873.0
2021,228,7707.0
2021,229,7553.0
2021,230,7690.0
2021,231,7589.0
2021,232,7489.0
2021,233,7588.0
2021,234,8041.0
2021,235,8222.0
2021,236,8117.0
2021,237,7790.0
2021,238,7379.0
2021,239,6593.0
2021,240,5900.0
2021,241,5455.0
2021,242,5212.0
2021,243,5114.0
2021,244,5083.0
2021,245,5129.0
2021,246,5442.0
2021,247,6232.0
2021,248,7032.0
2021,249,7468.0
2021,250,7569.0
2021,251,7653.0
2021,252,7451.0
2021,253,7337.0
2021,254,7409.0
2021,255,7300.0
2021,256,7245.0
2021,257,7417.0
2021,258,7933.0
2021,259,8143.0
2021,260,8048.0
2021,261,7747.0
2021,262,7301.0
2021,263,6505.0
2021,264,5822.0
2021,265,5416.0
2021,266,5159.0
2021,267,5067.0
2021,268,5016.0
2021,269,5110.0
2021,270,5425.0
2021,271,6228.0
2021,272,7079.0
2021,273,7627.0
2021,274,7758.0
2021,275,7866.0
2021,276,7657.0
2021,277,7545.0
2021,278,7650.0
2021,279,7605.0
2021,280,7502.0
2021,281,7636.0
2021,282,8085.0
2021,283,8194.0
2021,284,8043.0
2021,285,7652.0
2021,286,7253.0
2021,287,6522.0
