Year_name,,NG,Elec,Elec_final,Gas_final,Heat
2021,1,-0.0,5625.0,-0.0,-0.0,-0.0
2021,2,-0.0,5317.5,-0.0,-0.0,-0.0
2021,3,-0.0,5058.75,-0.0,-0.0,-0.0
2021,4,-0.0,4881.25,-0.0,-0.0,-0.0
2021,5,-0.0,4768.75,-0.0,-0.0,-0.0
2021,6,-0.0,4790.0,-0.0,-0.0,-0.0
2021,7,-0.0,4655.0,-0.0,-0.0,-0.0
2021,8,-0.0,4603.75,-0.0,-0.0,-0.0
2021,9,-0.0,4481.175,-0.0,-0.0,-0.0
2021,10,-0.0,3784.325,-0.0,-0.0,-0.0
2021,11,-0.0,2732.2124999999996,-0.0,-0.0,-0.0
2021,12,-0.0,2596.7374999999997,-0.0,-0.0,-0.0
2021,13,-0.0,2589.6875,-0.0,-0.0,-0.0
2021,14,-0.0,2797.2625,-0.0,-0.0,-0.0
2021,15,-0.0,3837.0124999999994,-0.0,-0.0,-0.0
2021,16,-0.0,5342.025,-0.0,-0.0,-0.0
2021,17,-0.0,6328.75,-0.0,-0.0,-0.0
2021,18,-0.0,7018.75,-0.0,-0.0,-0.0
2021,19,-0.0,7187.5,-0.0,-0.0,-0.0
2021,20,-0.0,7231.25,-0.0,-0.0,-0.0
2021,21,-0.0,7076.25,-0.0,-0.0,-0.0
2021,22,-0.0,6823.75,-0.0,-0.0,-0.0
2021,23,-0.0,6300.0,-0.0,-0.0,-0.0
2021,24,-0.0,5788.75,-0.0,-0.0,-0.0
2021,25,-0.0,5368.75,-0.0,-0.0,-0.0
2021,26,-0.0,5136.25,-0.0,-0.0,-0.0
2021,27,-0.0,5017.5,-0.0,-0.0,-0.0
2021,28,-0.0,4988.75,-0.0,-0.0,-0.0
2021,29,-0.0,5106.25,-0.0,-0.0,-0.0
2021,30,-0.0,5532.5,-0.0,-0.0,-0.0
2021,31,-0.0,6107.5,-0.0,-0.0,-0.0
2021,32,-0.0,6943.75,-0.0,-0.0,-0.0
2021,33,-0.0,5410.899999999999,-0.0,-0.0,-0.0
2021,34,-0.0,-0.0,-0.0,-0.0,-0.0
2021,35,-0.0,-0.0,-0.0,-0.0,-0.0
2021,36,-0.0,-0.0,-0.0,-0.0,-0.0
2021,37,-0.0,-0.0,-0.0,-0.0,-0.0
2021,38,-0.0,-0.0,-0.0,-0.0,-0.0
2021,39,-0.0,-0.0,-0.0,-0.0,-0.0
2021,40,-0.0,5409.762499999999,-0.0,-0.0,-0.0
2021,41,-0.0,8763.75,-0.0,-0.0,-0.0
2021,42,-0.0,9257.5,-0.0,-0.0,-0.0
2021,43,-0.0,9383.75,-0.0,-0.0,-0.0
2021,44,-0.0,9182.5,-0.0,-0.0,-0.0
2021,45,-0.0,8776.25,-0.0,-0.0,-0.0
2021,46,-0.0,8197.5,-0.0,-0.0,-0.0
2021,47,-0.0,7358.75,-0.0,-0.0,-0.0
2021,48,-0.0,6666.25,-0.0,-0.0,-0.0
2021,49,-0.0,6208.75,-0.0,-0.0,-0.0
2021,50,-0.0,5890.0,-0.0,-0.0,-0.0
2021,51,-0.0,5773.75,-0.0,-0.0,-0.0
2021,52,-0.0,5721.25,-0.0,-0.0,-0.0
2021,53,-0.0,5802.5,-0.0,-0.0,-0.0
2021,54,-0.0,6267.5,-0.0,-0.0,-0.0
2021,55,-0.0,7083.75,-0.0,-0.0,-0.0
2021,56,-0.0,7975.0,-0.0,-0.0,-0.0
2021,57,-0.0,7021.424999999999,-0.0,-0.0,-0.0
2021,58,-0.0,3835.9249999999997,-0.0,-0.0,-0.0
2021,59,-0.0,657.2874999999999,-0.0,-0.0,-0.0
2021,60,-0.0,-0.0,-0.0,-0.0,-0.0
2021,61,-0.0,-0.0,-0.0,-0.0,-0.0
2021,62,-0.0,-0.0,-0.0,-0.0,-0.0
2021,63,-0.0,-0.0,-0.0,-0.0,-0.0
2021,64,-0.0,5727.875,-0.0,-0.0,-0.0
2021,65,-0.0,9045.0,-0.0,-0.0,-0.0
2021,66,-0.0,9461.25,-0.0,-0.0,-0.0
2021,67,-0.0,9566.25,-0.0,-0.0,-0.0
2021,68,-0.0,9378.75,-0.0,-0.0,-0.0
2021,69,-0.0,8983.75,-0.0,-0.0,-0.0
2021,70,-0.0,8383.75,-0.0,-0.0,-0.0
2021,71,-0.0,7607.5,-0.0,-0.0,-0.0
2021,72,-0.0,6898.75,-0.0,-0.0,-0.0
2021,73,-0.0,6358.75,-0.0,-0.0,-0.0
2021,74,-0.0,6048.75,-0.0,-0.0,-0.0
2021,75,-0.0,5913.75,-0.0,-0.0,-0.0
2021,76,-0.0,5808.75,-0.0,-0.0,-0.0
2021,77,-0.0,5920.0,-0.0,-0.0,-0.0
2021,78,-0.0,6343.75,-0.0,-0.0,-0.0
2021,79,-0.0,7210.0,-0.0,-0.0,-0.0
2021,80,-0.0,7977.990766509852,-0.0,-0.0,-0.0
2021,81,-0.0,7286.637499999999,-0.0,-0.0,-0.0
2021,82,-0.0,4695.8125,-0.0,-0.0,-0.0
2021,83,-0.0,2508.7874999999995,-0.0,-0.0,-0.0
2021,84,-0.0,66.57500000000027,-0.0,-0.0,-0.0
2021,85,-0.0,-0.0,-0.0,-0.0,-0.0
2021,86,-0.0,-0.0,-0.0,-0.0,-0.0
2021,87,-0.0,6949.9125,-0.0,-0.0,-0.0
2021,88,-0.0,8620.375,-0.0,-0.0,-0.0
2021,89,-0.0,9121.25,-0.0,-0.0,-0.0
2021,90,-0.0,9536.25,-0.0,-0.0,-0.0
2021,91,-0.0,9657.5,-0.0,-0.0,-0.0
2021,92,-0.0,9462.5,-0.0,-0.0,-0.0
2021,93,-0.0,8976.25,-0.0,-0.0,-0.0
2021,94,-0.0,8545.0,-0.0,-0.0,-0.0
2021,95,-0.0,7701.25,-0.0,-0.0,-0.0
2021,96,-0.0,6937.5,-0.0,-0.0,-0.0
2021,97,-0.0,6468.75,-0.0,-0.0,-0.0
2021,98,-0.0,6188.75,-0.0,-0.0,-0.0
2021,99,-0.0,5997.5,-0.0,-0.0,-0.0
2021,100,-0.0,6085.0,-0.0,-0.0,-0.0
2021,101,-0.0,6192.5,-0.0,-0.0,-0.0
2021,102,-0.0,6630.0,-0.0,-0.0,-0.0
2021,103,-0.0,7144.458192538422,-0.0,-0.0,-0.0
2021,104,-0.0,6670.123862172363,-0.0,-0.0,-0.0
2021,105,-0.0,7507.7,-0.0,-0.0,-0.0
2021,106,-0.0,4334.062500000001,-0.0,-0.0,-0.0
2021,107,-0.0,2046.1874999999998,-0.0,-0.0,-0.0
2021,108,-0.0,428.6749999999995,-0.0,-0.0,-0.0
2021,109,-0.0,-0.0,-0.0,-0.0,-0.0
2021,110,-0.0,1783.237499999999,-0.0,-0.0,-0.0
2021,111,-0.0,4691.4,-0.0,-0.0,-0.0
2021,112,-0.0,7957.749999999999,-0.0,-0.0,-0.0
2021,113,-0.0,9188.75,-0.0,-0.0,-0.0
2021,114,-0.0,9570.0,-0.0,-0.0,-0.0
2021,115,-0.0,9638.75,-0.0,-0.0,-0.0
2021,116,-0.0,9415.0,-0.0,-0.0,-0.0
2021,117,-0.0,8982.5,-0.0,-0.0,-0.0
2021,118,-0.0,8537.5,-0.0,-0.0,-0.0
2021,119,-0.0,7813.75,-0.0,-0.0,-0.0
2021,120,-0.0,7012.5,-0.0,-0.0,-0.0
2021,121,-0.0,6526.25,-0.0,-0.0,-0.0
2021,122,-0.0,6205.0,-0.0,-0.0,-0.0
2021,123,-0.0,6046.25,-0.0,-0.0,-0.0
2021,124,-0.0,5942.5,-0.0,-0.0,-0.0
2021,125,-0.0,5892.5,-0.0,-0.0,-0.0
2021,126,-0.0,5998.75,-0.0,-0.0,-0.0
2021,127,-0.0,6192.5,-0.0,-0.0,-0.0
2021,128,-0.0,6580.0,-0.0,-0.0,-0.0
2021,129,-0.0,5782.487499999999,-0.0,-0.0,-0.0
2021,130,-0.0,3411.6625000000004,-0.0,-0.0,-0.0
2021,131,-0.0,1649.2875000000004,-0.0,-0.0,-0.0
2021,132,-0.0,-0.0,-0.0,-0.0,-0.0
2021,133,-0.0,-0.0,-0.0,-0.0,-0.0
2021,134,-0.0,-0.0,-0.0,-0.0,-0.0
2021,135,-0.0,991.3125000000002,-0.0,-0.0,-0.0
2021,136,-0.0,6362.324999999999,-0.0,-0.0,-0.0
2021,137,-0.0,8112.5,-0.0,-0.0,-0.0
2021,138,-0.0,8908.75,-0.0,-0.0,-0.0
2021,139,-0.0,9091.25,-0.0,-0.0,-0.0
2021,140,-0.0,8906.25,-0.0,-0.0,-0.0
2021,141,-0.0,8478.75,-0.0,-0.0,-0.0
2021,142,-0.0,8113.75,-0.0,-0.0,-0.0
2021,143,-0.0,7495.0,-0.0,-0.0,-0.0
2021,144,-0.0,6820.0,-0.0,-0.0,-0.0
2021,145,-0.0,6270.0,-0.0,-0.0,-0.0
2021,146,-0.0,5936.25,-0.0,-0.0,-0.0
2021,147,-0.0,5738.75,-0.0,-0.0,-0.0
2021,148,-0.0,5637.5,-0.0,-0.0,-0.0
2021,149,-0.0,5607.5,-0.0,-0.0,-0.0
2021,150,-0.0,5662.5,-0.0,-0.0,-0.0
2021,151,-0.0,5701.25,-0.0,-0.0,-0.0
2021,152,-0.0,5887.5,-0.0,-0.0,-0.0
2021,153,-0.0,5566.525,-0.0,-0.0,-0.0
2021,154,-0.0,4108.5125,-0.0,-0.0,-0.0
2021,155,-0.0,870.8875,-0.0,-0.0,-0.0
