Year_name,,Elec_demand,Heat_demand
2021,1,9778.69,3813.953793617521
2021,2,9634.18,3810.182135962476
2021,3,9633.9,3850.519555771639
2021,4,9707.48,3910.994670188577
2021,5,9919.41,4011.210158289568
2021,6,9964.3,4245.85490912011
2021,7,10150.46,4799.133861948492
2021,8,10184.09,5023.582081391867
2021,9,10226.24,4764.741148281991
2021,10,10395.05,4518.366520119841
2021,11,10432.06,4327.755218928159
2021,12,10425.19,4180.143342619419
2021,13,10547.72,4086.285442453362
2021,14,10847.29,4015.892017121119
2021,15,11022.25,3966.356044495391
2021,16,11021.11,3950.11859490949
2021,17,11074.88,4003.182093131645
2021,18,11064.12,4070.642458953886
2021,19,10849.56,4173.299537649948
2021,20,10465.52,4186.987148004289
2021,21,10731.69,4096.062306932835
2021,22,10541.76,4031.535000620595
2021,23,10136.25,3982.209672721545
2021,24,9849.41,3877.752774656999
2021,25,9655.89,3813.953793617521
2021,26,9524.9,3810.182135962476
2021,27,9555.4,3850.519555771639
2021,28,9838.15,3910.994670188577
2021,29,10608.1,4011.210158289568
2021,30,11059.28,4245.85490912011
2021,31,11384.07,4799.133861948492
2021,32,11432.82,5023.582081391867
2021,33,11390.6,4764.741148281991
2021,34,11405.88,4518.366520119841
2021,35,11480.22,4327.755218928159
2021,36,11433.67,4180.143342619419
2021,37,11479.85,4086.285442453362
2021,38,11650.77,4015.892017121119
2021,39,11796.26,3966.356044495391
2021,40,11760.06,3950.11859490949
2021,41,11725.42,4003.182093131645
2021,42,11696.58,4070.642458953886
2021,43,11502.25,4173.299537649948
2021,44,10973.89,4186.987148004289
2021,45,11124.23,4096.062306932835
2021,46,10922.16,4031.535000620595
2021,47,10383.17,3982.209672721545
2021,48,9994.76,3877.752774656999
2021,49,9715.02,3813.953793617521
2021,50,9675.39,3810.182135962476
2021,51,9703.11,3850.519555771639
2021,52,9960.01,3910.994670188577
2021,53,10741.48,4011.210158289568
2021,54,11204.38,4245.85490912011
2021,55,11611.28,4799.133861948492
2021,56,11610.57,5023.582081391867
2021,57,11424.26,4764.741148281991
2021,58,11495.41,4518.366520119841
2021,59,11502.73,4327.755218928159
2021,60,11410.43,4180.143342619419
2021,61,11527.29,4086.285442453362
2021,62,11799.46,4015.892017121119
2021,63,11920.02,3966.356044495391
2021,64,11932.71,3950.11859490949
2021,65,11907.39,4003.182093131645
2021,66,11900.08,4070.642458953886
2021,67,11692.99,4173.299537649948
2021,68,11154.11,4186.987148004289
2021,69,11191.35,4096.062306932835
2021,70,10909.79,4031.535000620595
2021,71,10506.29,3982.209672721545
2021,72,10084.29,3877.752774656999
2021,73,9877.34,3813.953793617521
2021,74,9787.03,3810.182135962476
2021,75,9840.03,3850.519555771639
2021,76,10082.08,3910.994670188577
2021,77,10968.16,4011.210158289568
2021,78,11367.19,4245.85490912011
2021,79,11719.88,4799.133861948492
2021,80,11743.37,5023.582081391867
2021,81,11641.2,4764.741148281991
2021,82,11679.79,4518.366520119841
2021,83,11746.31,4327.755218928159
2021,84,11682.87,4180.143342619419
2021,85,11749.57,4086.285442453362
2021,86,11945.29,4015.892017121119
2021,87,12024.22,3966.356044495391
2021,88,11994.9,3950.11859490949
2021,89,11892.97,4003.182093131645
2021,90,11906.58,4070.642458953886
2021,91,11805.63,4173.299537649948
2021,92,11301.83,4186.987148004289
2021,93,11412.48,4096.062306932835
2021,94,11149.06,4031.535000620595
2021,95,10681.7,3982.209672721545
2021,96,10342.73,3877.752774656999
2021,97,10129.39,3813.953793617521
2021,98,10035.44,3810.182135962476
2021,99,10067.91,3850.519555771639
2021,100,10404.98,3910.994670188577
2021,101,11158.56,4011.210158289568
2021,102,11634.22,4245.85490912011
2021,103,12043.65,4799.133861948492
2021,104,12082.89,5023.582081391867
2021,105,11958.89,4764.741148281991
2021,106,11932.58,4518.366520119841
2021,107,11826.71,4327.755218928159
2021,108,11832.54,4180.143342619419
2021,109,11837.16,4086.285442453362
2021,110,11980.69,4015.892017121119
2021,111,12102.88,3966.356044495391
2021,112,12038.82,3950.11859490949
2021,113,12013.08,4003.182093131645
2021,114,11950.04,4070.642458953886
2021,115,11602.5,4173.299537649948
2021,116,11095.46,4186.987148004289
2021,117,11156.28,4096.062306932835
2021,118,10913.05,4031.535000620595
2021,119,10369.32,3982.209672721545
2021,120,10028.65,3877.752774656999
2021,121,9733.44,3813.953793617521
2021,122,9626.87,3810.182135962476
2021,123,9584.63,3850.519555771639
2021,124,9662.02,3910.994670188577
2021,125,9850.78,4011.210158289568
2021,126,9964.55,4245.85490912011
2021,127,10291.76,4799.133861948492
2021,128,10337.71,5023.582081391867
2021,129,10394.03,4764.741148281991
2021,130,10631.96,4518.366520119841
2021,131,10735.89,4327.755218928159
2021,132,10702.06,4180.143342619419
2021,133,10777.86,4086.285442453362
2021,134,11067.48,4015.892017121119
2021,135,11425.73,3966.356044495391
2021,136,11516.0,3950.11859490949
2021,137,11678.04,4003.182093131645
2021,138,11652.93,4070.642458953886
2021,139,11416.04,4173.299537649948
2021,140,11010.54,4186.987148004289
2021,141,11199.05,4096.062306932835
2021,142,10989.18,4031.535000620595
2021,143,10532.31,3982.209672721545
2021,144,10181.45,3877.752774656999
2021,145,9925.89,3813.953793617521
2021,146,9881.61,3810.182135962476
2021,147,9877.48,3850.519555771639
2021,148,9975.48,3910.994670188577
2021,149,10213.5,4011.210158289568
2021,150,10285.27,4245.85490912011
2021,151,10567.59,4799.133861948492
2021,152,10661.18,5023.582081391867
2021,153,10855.22,4764.741148281991
2021,154,11056.15,4518.366520119841
2021,155,11086.49,4327.755218928159
2021,156,11009.38,4180.143342619419
2021,157,11009.27,4086.285442453362
2021,158,11252.62,4015.892017121119
2021,159,11589.63,3966.356044495391
2021,160,11687.97,3950.11859490949
2021,161,11802.66,4003.182093131645
2021,162,11791.73,4070.642458953886
2021,163,11544.02,4173.299537649948
2021,164,11100.25,4186.987148004289
2021,165,11279.69,4096.062306932835
2021,166,11143.62,4031.535000620595
2021,167,10779.14,3982.209672721545
2021,168,10474.56,3877.752774656999
2021,169,10287.36,3813.953793617521
2021,170,10299.83,3810.182135962476
2021,171,10348.79,3850.519555771639
2021,172,10744.29,3910.994670188577
2021,173,11702.19,4011.210158289568
2021,174,12315.29,4245.85490912011
2021,175,12607.04,4799.133861948492
2021,176,12505.97,5023.582081391867
2021,177,12429.92,4764.741148281991
2021,178,12397.79,4518.366520119841
2021,179,12330.19,4327.755218928159
2021,180,12258.7,4180.143342619419
2021,181,12216.41,4086.285442453362
2021,182,12351.57,4015.892017121119
2021,183,12641.95,3966.356044495391
2021,184,12666.22,3950.11859490949
2021,185,12637.56,4003.182093131645
2021,186,12601.81,4070.642458953886
2021,187,12416.6,4173.299537649948
2021,188,11822.41,4186.987148004289
2021,189,11849.46,4096.062306932835
2021,190,11657.3,4031.535000620595
2021,191,11043.09,3982.209672721545
2021,192,10632.56,3877.752774656999
2021,193,10417.89,3813.953793617521
2021,194,10267.06,3810.182135962476
2021,195,10353.32,3850.519555771639
2021,196,10791.53,3910.994670188577
2021,197,11640.98,4011.210158289568
2021,198,12180.04,4245.85490912011
2021,199,12461.29,4799.133861948492
2021,200,12332.78,5023.582081391867
2021,201,12163.13,4764.741148281991
2021,202,12131.18,4518.366520119841
2021,203,12089.51,4327.755218928159
2021,204,11984.72,4180.143342619419
2021,205,11968.45,4086.285442453362
2021,206,12046.72,4015.892017121119
2021,207,12259.91,3966.356044495391
2021,208,12327.5,3950.11859490949
2021,209,12322.35,4003.182093131645
2021,210,12352.91,4070.642458953886
2021,211,12190.91,4173.299537649948
2021,212,11559.63,4186.987148004289
2021,213,11615.35,4096.062306932835
2021,214,11396.06,4031.535000620595
2021,215,10984.46,3982.209672721545
2021,216,10670.35,3877.752774656999
2021,217,10484.79,3813.953793617521
2021,218,10399.0,3810.182135962476
2021,219,10482.95,3850.519555771639
2021,220,10900.59,3910.994670188577
2021,221,11786.23,4011.210158289568
2021,222,12185.8,4245.85490912011
2021,223,12444.61,4799.133861948492
2021,224,12257.06,5023.582081391867
2021,225,12175.87,4764.741148281991
2021,226,12272.05,4518.366520119841
2021,227,12242.95,4327.755218928159
2021,228,12173.72,4180.143342619419
2021,229,12137.8,4086.285442453362
2021,230,12312.21,4015.892017121119
2021,231,12557.3,3966.356044495391
2021,232,12579.05,3950.11859490949
2021,233,12595.21,4003.182093131645
2021,234,12602.33,4070.642458953886
2021,235,12403.72,4173.299537649948
2021,236,11885.34,4186.987148004289
2021,237,11921.36,4096.062306932835
2021,238,11610.08,4031.535000620595
2021,239,11165.62,3982.209672721545
2021,240,10868.34,3877.752774656999
2021,241,10622.9,3813.953793617521
2021,242,10608.56,3810.182135962476
2021,243,10713.99,3850.519555771639
2021,244,11187.92,3910.994670188577
2021,245,12073.07,4011.210158289568
2021,246,12582.66,4245.85490912011
2021,247,12736.13,4799.133861948492
2021,248,12521.7,5023.582081391867
2021,249,12501.15,4764.741148281991
2021,250,12475.56,4518.366520119841
2021,251,12490.74,4327.755218928159
2021,252,12452.63,4180.143342619419
2021,253,12453.15,4086.285442453362
2021,254,12536.37,4015.892017121119
2021,255,12791.9,3966.356044495391
2021,256,12798.67,3950.11859490949
2021,257,12778.36,4003.182093131645
2021,258,12763.1,4070.642458953886
2021,259,12627.89,4173.299537649948
2021,260,12074.66,4186.987148004289
2021,261,12163.22,4096.062306932835
2021,262,11907.09,4031.535000620595
2021,263,11445.58,3982.209672721545
2021,264,11089.56,3877.752774656999
2021,265,10856.92,3813.953793617521
2021,266,10816.68,3810.182135962476
2021,267,10946.54,3850.519555771639
2021,268,11366.03,3910.994670188577
2021,269,12322.0,4011.210158289568
2021,270,12755.44,4245.85490912011
2021,271,12881.16,4799.133861948492
2021,272,12886.96,5023.582081391867
2021,273,12815.92,4764.741148281991
2021,274,12792.98,4518.366520119841
2021,275,12738.0,4327.755218928159
2021,276,12645.98,4180.143342619419
2021,277,12636.17,4086.285442453362
2021,278,12712.27,4015.892017121119
2021,279,12979.68,3966.356044495391
2021,280,13016.05,3950.11859490949
2021,281,12933.27,4003.182093131645
2021,282,12867.02,4070.642458953886
2021,283,12618.49,4173.299537649948
2021,284,12067.15,4186.987148004289
2021,285,12139.79,4096.062306932835
2021,286,11833.15,4031.535000620595
2021,287,11311.64,3982.209672721545
2021,288,10947.81,3877.752774656999
2021,289,10641.21,3813.953793617521
2021,290,10565.32,3810.182135962476
2021,291,10559.39,3850.519555771639
2021,292,10689.84,3910.994670188577
2021,293,10942.48,4011.210158289568
2021,294,11052.5,4245.85490912011
2021,295,11473.35,4799.133861948492
2021,296,11432.34,5023.582081391867
2021,297,11533.37,4764.741148281991
2021,298,11603.55,4518.366520119841
2021,299,11630.75,4327.755218928159
2021,300,11657.79,4180.143342619419
2021,301,11629.82,4086.285442453362
2021,302,11843.63,4015.892017121119
2021,303,12149.95,3966.356044495391
2021,304,12336.85,3950.11859490949
2021,305,12430.56,4003.182093131645
2021,306,12320.67,4070.642458953886
2021,307,11951.98,4173.299537649948
2021,308,11460.29,4186.987148004289
2021,309,11546.84,4096.062306932835
2021,310,11355.93,4031.535000620595
2021,311,10900.93,3982.209672721545
2021,312,10512.28,3877.752774656999
2021,313,10255.01,3813.953793617521
2021,314,10124.59,3810.182135962476
2021,315,10146.9,3850.519555771639
2021,316,10206.0,3910.994670188577
2021,317,10408.59,4011.210158289568
2021,318,10470.03,4245.85490912011
2021,319,10762.59,4799.133861948492
2021,320,10881.34,5023.582081391867
2021,321,11067.73,4764.741148281991
2021,322,11238.08,4518.366520119841
2021,323,11291.39,4327.755218928159
2021,324,11285.49,4180.143342619419
2021,325,11269.17,4086.285442453362
2021,326,11442.44,4015.892017121119
2021,327,11799.63,3966.356044495391
2021,328,11866.22,3950.11859490949
2021,329,11885.22,4003.182093131645
